hotel_id,country,region,resort_type,room_type,hotel_size_rooms,month,is_school_holiday,is_weekend,days_to_christmas,rate_eur_per_night,is_premium,log_rate,rate_flag_extreme
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,1,0,0,345,1140.0,0,7.039660349862076,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,2,1,0,315,1260.0,0,7.13966033596492,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,3,0,0,280,1110.0,0,7.01301578963963,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,4,1,0,251,910.0,0,6.814542897259958,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,5,0,0,229,2560.0,0,7.848153086199526,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,6,0,0,180,4000.0,1,8.294299608857235,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,7,1,0,160,4020.0,1,8.299285906897275,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,8,1,1,137,3730.0,1,8.224431573221159,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,10,0,1,81,2480.0,0,7.816416983691801,0
amanzoe,Greece,Europe,beach,Deluxe Room,38.0,12,1,0,2,1690.0,0,7.43307534889858,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,1,0,0,345,1330.0,0,7.193685818395112,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,2,1,0,315,1470.0,0,7.293697720601438,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,3,0,0,280,1170.0,0,7.065613363597717,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,4,1,0,251,1500.0,0,7.313886831633462,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,5,0,0,229,3110.0,1,8.042699496897637,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,6,0,0,180,5190.0,1,8.55468163582723,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,7,1,0,160,4800.0,1,8.476579508530941,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,8,1,1,137,5910.0,1,8.684570300824369,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,10,0,1,81,3340.0,1,8.114025442356757,0
amanzoe,Greece,Europe,beach,Superior Room,38.0,12,1,0,2,1770.0,0,7.479299637782834,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,1,0,0,345,1630.0,0,7.396948602621014,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,2,1,0,315,2340.0,0,7.75833346749091,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,3,0,0,280,2100.0,0,7.650168700845001,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,4,1,0,251,1730.0,0,7.456454555176209,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,5,0,0,229,3960.0,1,8.284251797621916,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,6,0,0,180,6610.0,1,8.796490207333578,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,7,1,0,160,6240.0,1,8.738895704934043,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,8,1,1,137,6550.0,1,8.787372988731876,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,10,0,1,81,4130.0,1,8.326274787396764,0
amanzoe,Greece,Europe,beach,Junior Suite,38.0,12,1,0,2,2780.0,0,7.930565854233965,0
amanzoe,Greece,Europe,beach,Suite,38.0,1,0,0,345,2670.0,0,7.890208213109961,0
amanzoe,Greece,Europe,beach,Suite,38.0,2,1,0,315,2890.0,0,7.969357742016346,0
amanzoe,Greece,Europe,beach,Suite,38.0,3,0,0,280,2750.0,0,7.919719760924575,0
amanzoe,Greece,Europe,beach,Suite,38.0,4,1,0,251,2420.0,0,7.791935956938058,0
amanzoe,Greece,Europe,beach,Suite,38.0,5,0,0,229,5340.0,1,8.58316818033977,0
amanzoe,Greece,Europe,beach,Suite,38.0,6,0,0,180,9450.0,1,9.153875834995056,0
amanzoe,Greece,Europe,beach,Suite,38.0,7,1,0,160,8460.0,1,9.0432226489245,0
amanzoe,Greece,Europe,beach,Suite,38.0,8,1,1,137,8830.0,1,9.086023537468803,0
amanzoe,Greece,Europe,beach,Suite,38.0,10,0,1,81,6380.0,1,8.761080103868347,0
amanzoe,Greece,Europe,beach,Suite,38.0,12,1,0,2,4100.0,1,8.31898612539206,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,1,0,0,345,3610.0,1,8.191740021277457,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,2,1,0,315,4190.0,1,8.340694647925071,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,3,0,0,280,3210.0,1,8.074337694089515,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,4,1,0,251,3850.0,1,8.25608813381491,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,5,0,0,229,8100.0,1,8.999742789830492,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,6,0,0,180,13470.0,1,9.508294505698569,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,7,1,0,160,14000.0,1,9.546884034617925,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,8,1,1,137,14600.0,1,9.588845298501564,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,10,0,1,81,8670.0,1,9.06773940337716,0
amanzoe,Greece,Europe,beach,Grand Suite,38.0,12,1,0,2,4460.0,1,8.403128235128264,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,1,0,0,345,4940.0,1,8.50532301884575,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,2,1,0,315,6480.0,1,8.776630098427717,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,3,0,0,280,4980.0,1,8.513385953073284,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,4,1,0,251,4680.0,1,8.45126704130007,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,5,0,0,229,11550.0,1,9.35452729228868,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,6,0,0,180,18940.0,1,9.849084163656741,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,7,1,0,160,20400.0,1,9.923339198238729,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,8,1,1,137,21680.0,1,9.98419157995109,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,10,0,1,81,13250.0,1,9.491828300264636,0
amanzoe,Greece,Europe,beach,Presidential Suite,38.0,12,1,0,2,8060.0,1,8.9947928972836,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,1,0,0,345,560.0,0,6.329720905522696,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,2,1,0,315,700.0,0,6.55250788703459,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,3,0,0,280,660.0,0,6.493753839851686,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,4,1,0,251,590.0,0,6.3818160174060985,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,5,0,0,229,1850.0,0,7.523481312573497,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,6,0,0,180,2980.0,0,8.000014093678072,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,7,1,0,160,3330.0,1,8.11102783819368,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,8,1,1,137,3340.0,1,8.114025442356757,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,10,0,1,81,1910.0,0,7.555381944240273,0
le_sirenuse,Italy,Europe,city,Deluxe Room,58.0,12,1,0,2,840.0,0,6.734591659972948,0
